id,created_at,text
1265262185300856833,2020-05-26 12:43:07,b'Learn more about our response to the pandemic at https://t.co/VZrTeCLJ9m 5/5'
1265262182608130052,2020-05-26 12:43:06,"b'Step 3: Focusing on a weakness shared by all coronaviruses, to develop a pan-coronavirus antiviral that could prevent the next pandemic. 4/5'"
1265262180875845632,2020-05-26 12:43:06,b'Step 2: Developing a vaccine to teach the immune system to recognize the virus and block it. 3/5'
1265262178699010051,2020-05-26 12:43:05,b'Step 1: Investigating the use of existing medicines to prevent the virus from replicating or to quiet an overactive\xe2\x80\xa6 https://t.co/9JaqGfQUDy'
1265258886711427072,2020-05-26 12:30:00,b'How is science combating #coronavirus? Learn about the 3 step approach to beating the virus. #COVID19 1/5'
1264997017866076162,2020-05-25 19:09:26,b'@notahedge Thanks for reaching out. We understand your concern and would like to know more about your circumstances\xe2\x80\xa6 https://t.co/EfHhfHV6vm'
1263863197309829125,2020-05-22 16:04:02,b'@AllieWag Please contact us by phone at 1-888-669-6682 or visit our website: https://t.co/kUcNwHtgbY'
1263371448120479745,2020-05-21 07:30:00,"b'Scientists worldwide are uniting on 3 key strategies against the #coronavirus, to slow and eventually stop the pandemic #COVID19'"
1263031709550944257,2020-05-20 09:00:00,b'Cell &amp; Gene therapies are changing how we think of medicine. Here\xe2\x80\x99s a look at what they are and how they work.\xe2\x80\xa6 https://t.co/oAYI0hy2aj'
1262707871030095872,2020-05-19 11:33:11,b'Human health depends on planetary health. At Novartis we are committed to @sciencetargets and we believe in ambitio\xe2\x80\xa6 https://t.co/cD2SYRtTWi'
1261302688253427714,2020-05-15 14:29:29,b'@NiteshThat Please contact our local office in India by phone at +91 22 50243000 or click here: https://t.co/ZBtRbP4qi3'
1261302318588399617,2020-05-15 14:28:01,"b""@Rie21306005 We saw your tweet. Please let us know your question and we'll try to help."""
1260584750139539462,2020-05-13 14:56:39,"b'RT @ftlive: As the world races to find a cure for #COVID-19, pharmaceutical companies are having to rapidly adapt to an unfamiliar accelera\xe2\x80\xa6'"
1260547842705207298,2020-05-13 12:30:00,"b'Rigorous, science-led investigation is crucial as we seek solutions to the #coronavirus. #COVID19'"
